,equity
2020-08-11 04:00:00+00:00,10000.0
2020-08-11 08:00:00+00:00,10000.0
2020-08-11 12:00:00+00:00,10000.0
2020-08-11 16:00:00+00:00,10000.0
2020-08-11 20:00:00+00:00,10000.0
2020-08-12 00:00:00+00:00,10000.0
2020-08-12 04:00:00+00:00,10000.0
2020-08-12 08:00:00+00:00,10000.0
2020-08-12 12:00:00+00:00,10000.0
2020-08-12 16:00:00+00:00,10000.0
2020-08-12 20:00:00+00:00,10000.0
2020-08-13 00:00:00+00:00,10000.0
2020-08-13 04:00:00+00:00,10000.0
2020-08-13 08:00:00+00:00,10000.0
2020-08-13 12:00:00+00:00,10000.0
2020-08-13 16:00:00+00:00,10000.0
2020-08-13 20:00:00+00:00,10000.0
2020-08-14 00:00:00+00:00,10000.0
2020-08-14 04:00:00+00:00,10000.0
2020-08-14 08:00:00+00:00,10000.0
2020-08-14 12:00:00+00:00,10000.0
2020-08-14 16:00:00+00:00,10000.0
2020-08-14 20:00:00+00:00,10000.0
2020-08-15 00:00:00+00:00,10000.0
2020-08-15 04:00:00+00:00,10000.0
2020-08-15 08:00:00+00:00,10000.0
2020-08-15 12:00:00+00:00,10000.0
2020-08-15 16:00:00+00:00,10000.0
2020-08-15 20:00:00+00:00,10000.0
2020-08-16 00:00:00+00:00,10000.0
2020-08-16 04:00:00+00:00,10000.0
2020-08-16 08:00:00+00:00,10000.0
2020-08-16 12:00:00+00:00,10000.0
2020-08-16 16:00:00+00:00,10000.0
2020-08-16 20:00:00+00:00,10000.0
2020-08-17 00:00:00+00:00,10000.0
2020-08-17 04:00:00+00:00,10000.0
2020-08-17 08:00:00+00:00,10000.0
2020-08-17 12:00:00+00:00,10000.0
2020-08-17 16:00:00+00:00,10000.0
2020-08-17 20:00:00+00:00,10000.0
2020-08-18 00:00:00+00:00,9994.9975
2020-08-18 04:00:00+00:00,9848.873785940386
2020-08-18 08:00:00+00:00,10103.424036533896
2020-08-18 12:00:00+00:00,11064.709780813111
